Title,Genre,Plot
Age-Old Friends (1989),comedy,"John Cooper is in a retirement home. There are strict rules for the residents, but he refuses to fall into passivity. He flirts constantly with Nurse Wilson and spends time with his best buddy Michael Aylott, who's slowly drifting into senility. The movie portrays the fight for independence and dignity in old age. The resident of a nursing home, John Cooper is frustrated by his strictly ordered surroundings. Even though his body is in decline, John remains mentally keen, while his close friend, Michael Aylott, has the opposite issues -- he is in fairly good health, but becoming progressively more senile. As John and Michael attempt to keep some level of independence and contend with their own ailments, they try their best to support each other."
"""Raising Expectations"" (2016)",family,"The Wayneys are an amazing family: good looking, MENSA smart, talented, athletic and popular to boot. Paige (Ringwald) and Wayne Wayney (Priestley) have worked hard at raising ""multi-exceptional"" offspring and are proud of their children: Adam, Conner, Bentley and Derek. Everyone in town envies them or wants to be them, and you can even find Paige's book about raising her extraordinary family on the bestseller list. But alas, their fifth child, Emmett, is not marching in lock step on the path to familial greatness. What he lacks academically, athletically or artistically, he makes up for with relentless enthusiasm and curiosity. Emmett knows that one day he'll find his way, but in the meantime he's determined to celebrate his C-average status in spectacular creative fashion - no matter how often his best laid plans threaten to destroy the family's living space, reputation or sense of safety."
20 Something (2006),comedy,"John Dolen is a wholesome, and credulous young man who is moving to London in order to resolve his quarterlife crisis. Only today, John has learned that a certain married woman may be pregnant with his child. Thinking this may be fate, he calls upon the assistance of his two steadfast roommates; Paul, a reformed womanizer who yearns for true love but cannot overcome his fear of commitment, and Rob, a pot-smoking entrepreneurial slob who has devoted his life to revealing the atrocities set forth by corporate manipulation, and more importantly, to safeguard the existence of one very special couch. Time, and youth are of the essence as this unsettled trio must move out of their apartment while confronting their afflictions with love, lust, pregnancy, couches, wiffleball, ex-mobsters, corporate propaganda, four year theories, gazelles, transsexuals, metrosexuals, a shoddy landlord, the universal diner, and... a Monte Cristo."
The McCourts of New York (1999),documentary,"An intriguing and entertaining portrait of the McCourt brothers, Frank, Mike, Alphie, and Malachy. Follow their arrival to New York from the slums of Limerick, and hear the tales which inspired the Pulitzer Prize-winning memoirs of their family, ""Angela's Ashes"" and ""A Monk Swimming."""
"""Hot Ticket"" (2001)",talk-show,"Hot Ticket is a syndicated movie review and entertainment television program from 2001 to 2004. The half-hour show was hosted by Leonard Maltin and Todd Newton during its first season, and by Maltin and Joyce Kulhawik in seasons 2 and 3. It was distributed by Paramount Domestic Television. The show featured MTV-style fast cutting. For each movie, the hosts voted Hot or Not with red or blue cards. The show featured film reviews, showing and rating trailers, DVD recommendations, general discussions about film, and short interviews with actors about their upcoming roles."
The Gun Run (????),crime,"Gun, A low-end, but knowledgeable gunrunner, and his temperamental partner, Bully, earn a living selling firearms in shady motels. Throughout their day, they encounter all sorts of unusual clientele, which includes a serial killer, undercover cops and many more. The story follows the duo on their final gun run, as they dash all over the city, checking off their list."
Baboyngirongbuang (2010),drama,"Gerald and Clifford are best friends who will be riding the Ferris wheel for the first time; it will be their last chance since both will be going separate ways after graduation. This will be the most important weekend of their teenage lives; choices will be made to overcome peer pressure, homework and household chores. The story happens in the mid 90's a few years after the mining company in their town suspends its operation. The metal that brought them together could tear them apart."
"""Do Not Be Afraid"" (2007)",drama,"Women, restaurants, carefree life, drugs and friends. That is a former high-ranking political worker Arman Aramyan's son life. Among all of this - there is her big love Mari. She is the only light in his life. Escape from the law enforcement, involuntary volunteer in the militia war. On the verge of life and death - a spoiled but brave boy Yerevan becomes wise and courageous warrior. Return to Yerevan. Again the struggle of life, and measured, but in Yerevan, which has become a stranger to him. Love that has to wait. And the war again. The fate of the fall of military companies is decided in this battle."
Ironsides (2009),drama,"Childhood battles on a secluded island offshore the small New England town of Unity have plagued 11-year-old Randy Scott ever since he became the target of local bullies, the Coltrains, Jimmy, Mike and Simon. The Coltrain brothers don warpaint and terrorize the other kids. Simon especially is merciless, bragging that fists bounce off him, earning him the nickname ""Ironsides."" At home, Randy's father, a low-level boxer not proud of how he earns a living, begs his bruise-covered son to make peace. Conversely, at the Coltrain's home, the bullies are taught to fight by Frank, their alcoholic, abusive father, who enforces sadistic training, and beats both the brothers and their mother Alice. When Randy's father leaves town to fight his final match before retiring, Randy remains in the care of his disabled Aunt Mildred. Suffering at the hands of Simon and his brothers for control of the island, Randy struggles to find a way toward peace to make his father proud. But when Mr. Coltrain's ""training"" goes too far, Randy intervenes and saves a life. The physical abuse Simon is forced to endure, and Randy's desire for resolution, soon make them both realize that perhaps their best hope is each other."
The Green Swamp (1916),drama,"Most of the patients of Dr. Ward Allison are women, and his wife Margery is becoming increasingly jealous of all the time he spends with them. One day he tells her that he has been called out of town, but she is told that he is really staying at the house of a friend and colleague, Dr. Hendon, and the two are planning wild parties with their female patients. What she finds out, however, is even more shocking than what she expected."
Tip of My Tongue (2017),documentary,"Twelve New Yorkers born in the early 1960s across several continents ""visit"" every year of their lives in a brash, self-reflexive experiment about what it's meant to live in America over the last half century. Director and participant Lynne Sachs, who wrote her own series of 50 poems for every year of her life, guides her collaborators across the landscape of their memories. She gives each person the same historical timeline as a catalyst for an exploration of the relationship between their personal lives and the times in which they have lived. Initially strangers with nothing in common but their age, the group works together writing, performing and filming. Using the backdrop of the horizon as it meets the water in each of NYC's five boroughs as well as abstracted archival material, Sachs' project becomes an activator in the resurrection of complex, sometimes paradoxical reflections. In the dreamscape of the movie, each participant embraces shards of the past, knowing that his or her connection to a historical moment may be tenuous but allowing for that ambiguity and mystery. In this way, traditional timelines are replaced by a multi-layered, cinematic architecture that both speaks to and visualizes the nature of historical expression."
Fussballspiele (1976),short,"An attractive montage of a vivid and often tense highlights from the soccer field ... Headers, fouls, dribbling, runs, goalmouth dramas are juxtaposed, slowed down, repeated and at the same time embellished acoustically in such an apt and lively manner by the music of the leading German jazz and rock guitarist Volker Kriegel, that even the viewer spoilt by live soccer will enjoy seeing it. The artistes of the bid ball become leading dancers at the penalty mark. Slow motion, animation, modification or restriction of color further lend emphasis to the close interaction with the musical movements, achieving a positive unity, regardless weather attention is focussed on the goalkeeper, on team play, on vigorous tackling or on goalmouth excitement, which are all synchronized in sequence form with the musical sections. The film contains extracts from 13 first division soccer games in Germany."
"Zero degré, l'infini (2006)",documentary,"This documentary film allows us discover the creative process of two internationally renowned choreographers, Sidi Larbi Cherkaoui and Akram Khan, their contact, their will to together create a performance called ""0°"", for the Sadler Well's Theatre in London that will be staged from the July 12 to 16, 2005. ""0°"" is an introspection of art, choreography, the body, man, and religion."
Mother Is a Freshman (1949),comedy,"Widow Abby Abbott is having serious money problems and has to dip into the family trust in order to pay for her daughter Susan's college tuition. The catch: Abby must also become a co-ed or she can't touch the money. After passing her entrance exams, Abby goes to college and becomes very popular, especially with a handsome English professor whom Susan has a crush on."
Night Traveler (2013),adventure,"Night Traveler: Prophecy of the Elder follows musician Jake Whitman on a journey of discovery and adventure. After being fired from his only steady gig, Jake is lured down a dark dirt road by a ghostly apparition, causing him to wreck his motorcycle. Rescued by an elderly Native American, Jake is introduced to the origin of dreams, where four challenges will stand between destiny and destruction..."
Divorzio alla siciliana (1963),comedy,"Il barone Fifě ha bisogno di un erede per avere l'ereditŕ paterna. Ma con le prime due mogli ha avuto poco successo per il loro tradimento. E' stato costretto ad ottenere il ""divorzio alla siciliana"" con l'aiuto dell'onorata societŕ. Per questo č stato anche processato, ma anche assolto perchč, come dicono tutti i testimoni ""disgrazia fu"". Decide allora di cercare una moglie sul continente, a Roma. E qua, con l'aiuto di Nando, trova Marisa la giaguara che lavora in un night club e la sposa. Ma Marisa č molto bella, troppo, e a lei si interessano Don Calň, Turiddu e altri e il ""divorzio alla siciliana"" č facile da ottenere in Sicilia..."
"""A Step Away"" (2013)",reality-tv,"The Jennifer Lopez dancers face challenges in Asia with torrential rain and illness and Muslim customs force a quick wardrobe change in Jakarta. George returns from his baby's birth, even more determined to nail his first show and Shannon leads the dancers to some well-earned R&R in his Australian homeland."
Cuando me toque a mi (2006),drama,"A murder sets in motion a series of tragedies that find their way to the city morgue's Dr. Arturo Fernandez. Physically and emotionally isolated, Arturo develops an intimate relationship with the personal lives of his cases, forcing him to confront his connection to the living and the dead. This dark, serpentine tale offers a richly textured rendering of Ecuador's capital."
Lonliness (2016),drama,"Maximillian, a twenty-one years old man live a life full of delusions. He spends most of the time inside his apartment listening to music, he does not have any human contact, smokes approximately fifteen cigarettes a day, and is ready to end it all. Coming from a 'couldn't care less' family and abusive past, did not take long to develop a personality disorder and alter ego, Akira. Akira presents himself as Maximillian friend and liberator, but soon it becomes clear that Akira is neither one. Akira takes posses of Maximillian's will, and convinces him that the only way to desist his misery and begin a meaningful life is to 'free' people of his same nature, naďve and fragile. Maximillian is ready, walks the road to school. He carries a loaded gun..."
"TLC: Tables, Ladders, Chairs and Stairs (2014)",sport,"The last pay-per-view on the WWE calendar brings us tables, ladders and chairs. A night filled with action. The main event features Dean Ambrose and Bray Wyatt clash in an hellacious TLC match, while John Cena battles Seth Rollins in a Tables match and Dolph Ziggler challenges Luke Harper for the Intercontinental Championship in a thrilling ladder match."
Pride (2006),documentary,"Violence, threats of terror attack and condemnation from religious leaders plagued the 2006 Jerusalem Pride Parade. LGBT citizens of the state of Israel found themselves fighting for their right to exist as equal citizens. 'Pride,' by producers Igal Hecht and Lior Cohen, explore the struggles for legitimacy of the LGBT community in Israel."
Death on a Rock (2015),drama,"The film follows a young woman coming to terms with a trying event in her life. Lillian's (Rachael Perrell Fosket) bright outlook-she loves her job in a flower shop and has a sweet budding relationship with her boyfriend- is rocked by illness. Days spent in long term care at the hospital bring reflection, desperation, and some family tension. This vibrantly shot tale follows Lillian's year of happiness, pain, and growth, told through flashbacks and drifting between memories and shifting consciousness. Seen through a framework of loss, Death On A Rock is a bittersweet tale balanced between tragedy and levity. The film follows a young woman coming to terms with a trying event in her life. Lillian's (Rachael Perrell Fosket) bright outlook-she loves her job in a flower shop and has a sweet budding relationship with her boyfriend- is rocked by illness. Days spent in long term care at the hospital bring reflection, desperation, and some family tension. This vibrantly shot tale follows Lillian's year of happiness, pain, and growth, told through flashbacks and drifting between memories and shifting consciousness."
Lyubit ne lyubit (2014),comedy,"Lesha and Alena're planing their wedding. Everything is going to be OK, but Lesha and famous journalist Ira s' knowledge changes everything. Her image doesn't fit into the framework of Lesha's casual life. Ira introduces chaos in his life, and AlenaâEUR""a naive girl, loves him the way he is and badly wants to be his wife. Ira's adventurism and her willingness to commit insane acts gets Lesha understand that his life could be much more colorful. But is he ready for an adventurous actions while there's at stake happy future with Alena?"
Turtle Beach (2007),documentary,"Turtle Beach is a story of success against the odds in a fight to save a sea turtle nesting beach from development. In Turkey in the mid-eighties, new tourist facilities were being built along the coastlines at breakneck speed. When former nightclub singer June Haimoff heard of plans to build a holiday village on the beach at Dalyan, she decided to speak up for the endangered species caretta caretta. Dalyan's sea turtles became an international cause celebre as the landmark campaign to save the beach gathered momentum. It was the first time that conservation had been considered in Turkey's rush to develop economically and the sea turtles became powerful symbols of a new awareness in the country."
Coeur animal (2009),drama,"Suddenly he thinks her alone, his wife. This person whom he doesn't know how to love and who is now falling prey to a gnawing disease. This woman whom he knows so little about and whom he would like to be with him. Right now, Just like before."
A Personal Journey with Martin Scorsese Through American Movies (1995),documentary,"Despite its nearly four-hour running time, this is a uniquely personal look at movies from one of the late 20th century's great directors and film historians. The film consists of head & shoulder shots of Scorsese speaking into the camera for a minute or two, followed by 10-15 minutes of film clips with Scorsese voice-over. Scorsese approaches the films in terms of how they affected him as a director foremost and as a storyteller/film fan second. Segments include ""The Director as Smuggler,"" ""The Director as Iconoclast"", and so on. The Journey begins with silent masters like D.W. Griffith and ends in 1969 - when Scorsese began to make films; as he says in closing, ""I wouldn't feel right commenting on myself or my contemporaries."""
Separated at Birth (2017),thriller,"Lucy Pierce grew up believing she had a normal childhood with a loving and supportive mother, until she discovers old articles about the ""Baby Victoria"" disappearance - a high-profile abduction case that occurred when she was born. She is shocked to see that her baby picture is front and center. Determined to find answers, Lucy tracks down her biological mother, Elizabeth Marshall, a criminal prosecutor running for Governor of Pennsylvania. Overnight Lucy goes from an anonymous 20- something to a media sensation. While Lucy's reunion with Elizabeth is heartfelt, the same can't be said for her relationship with her newfound sister, Terri. Spoiled, rudderless and used to being an only child, Terri resents Lucy. Jealousy morphs into sabotage, as Terri realizes that if she can't bring herself up to Lucy's level, she must bring Lucy down to hers. The family reunion spirals out of control as Lucy finds herself in the middle of a police investigation which forces Elizabeth to distance herself to protect her campaign. As Lucy questions who is really trying to defame her, is something more sinister happening to tear this family apart, yet again?"
American Dream Stories (2018),documentary,"The cinematic journey takes us on a 45,000 kilometer (28,000 miles) train ride through the United States of America in search of the remaining fragments of the '(All) American Dream'. The documentary film takes stock of a nation that was built up 150 years ago by a network of railroads, and which today is at a crossroads with its social, economic and infrastructural situation. This stocktaking of the USA through the windows of a train compartment invites its audience to take part in a wondrous journey. The sight of backyards, industrial zones and private gardens offers us glimpses of life behind the facade of a country (of dreams). Between the scenic pictures, American passengers tell their stories of how their personal situations and those of their companions have changed over the years, what the future holds for them, and how they still believe in and hold onto the (All) American Dream."
The Extra (2017),comedy,"Bad boy movie star Derrick Stone books himself as an extra as a prank. When he arrives on set, no one recognizes him as Derrick Stone, they just think he looks like Derrick Stone. Finding new friends and a love interest in Mary, the wardrobe assistant, he begins living a double identity as Derrick and Joe, the extra. Events collide and comedy ensues as Derrick's stardom is put at risk, and Derrick is put to the test as Joe, begins to take over his life."
Alles Moet Nieuw - Piet Zwart (2012),documentary,"A fascinating documentary about Piet Zwart (1885-1977), an idiosyncratic and stubborn designer, who lived for innovation and prepared the way for the international success that is now known as Dutch Design. Piet Zwart worked as an interior and industrial designer, commercial typographer, photographer, critic and lecturer, playing a key role in defining the design climate in the Netherlands in the Twentieth Century. He is especially known for designing the famous 'Piet Zwart' kitchen for the Dutch company Bruynzeel: a kitchen that could be easily produced and consisted of standardized elements. His versatility and influence on present-day designers led the Association of Dutch Designers to award him the title of ""Designer of the Century"" in 2000. Piet Zwart is counted among the international avant-garde without any reservations. His work reflects the work of artists such as Kurt Schwitters, El Lissitzky, Laszlo Moholy-Nagy, Jan Tschichold, but always retains its own authenticity. His work corresponded with similar experiments at the Bauhaus, where Piet Zwart was a teacher. This documentary enters the mind of the artist Piet Zwart with his almost obsessive urge to innovate."
"""Mr. Fighting"" (2005)",drama,"A rigged professional fist-fighting tournament 20 years ago led to the downfall of one family and changed the course of both families forever. The patriarchs of the Tuan and Yeh families faced each other in an epic professional fist-fighting tournament that went horribly wrong, and the two families have been sworn enemies ever since. Tuan Yu-Chiao ('Tony Sun (III)' (qv)) is the son of one of the feuding families who also is an expert fist fighter as well as heir to the family's successful entertainment company."
A Horse Connection (2009),short,"Original documentary short that explores the relationship between horses and persons with special needs. Nancy King, a specialist in Equine Assisted Therapy, introduces us to her riding therapy program, designed to assist special needs considerations. This includes autism, blindness, and other forms of physical or developmental disabilities. Meet Linda, Alyssa, Vincent, Morgan, Jacqueline, and Joey-five clients who have had their lives changed forever through their involvement with Nancy and her horses."
Waiting for a Storm (????),documentary,"The chars of the Brahmaputra are a curious geographical feature of the river - they are small, temporary land masses, almost like islands, that appear and disappear seasonally due to erosion. They are also places that many immigrant communities of Assam call home. They farm on the transient land masses and raise their families there as well. Waiting for a Storm explores this ephemeral relationship between the chars and their residents through the prism of two different subjects - Amjad Ali, a farmer who lives on such a char and Sahjahan Hussain, a young activist from the mainland who is working for land rights of the char dwellers. Through their voices the film navigates questions of identity and reform. And as their paths converge, Amjad and Sahjahan's future remains as uncertain as the receding landscape surrounding them."
Hot Under the Collar (1992),comedy,"Jerry tries to seduce his girlfriend Monica via hypnosis, but it accidentally makes her want to enter a convent and take a vow of chastity instead. Jerry tries to get her out by disguising himself to a priest and later as a nun. Alas, his rescue attempt crosses paths with a mobster who looks for his hidden stolen diamonds in the convent. Things get even more complicated when the pope himself decides to pay a surprise visit."
Through the Grapevine (2014),short,"In the 1990s, beloved Dookie primary school teacher Peter McManus abruptly abandoned his job to become a winery grape-grower. Even more astonishing was the fact that Peter's new employer was a hitchhiking businessman, who Peter had encountered on the side of the road one fateful evening. However, this was far from the first time that Peter made a bold choice in his life. From his record-breaking blood donations to his ongoing local charity work, Peter's life philosophy has been to embrace opportunities and to live life for others - and he considers himself all the richer for it. Through a captivating story, moving interviews and stunningly creative visuals, this short documentary reveals the powerful influence that each of us has over everyone around us... and how one humble country bloke has harnessed this potential for the greater good."
Possum Hunter (2000),thriller,"Four boys (School Pals) decide to go camping at a hut in the forest before heading off to start college. They tramp into the forest and discover that the hut has been burned down, while looking for something else to sleep in they meet a deranged Possum Hunter in the bush who offers them shelter in his hut. They take up his offer stay in his hut for the night and have a drink with him. Later that night they find a severed hand hidden in a box at the back of the hut and suspect that Hunter might possibly have killed someone and is hiding form the police. The four boys decide to play it cool and raise no alarms but to get out of there in the morning. Morning comes and the boys try to make a hasty retreat but the Hunter gets suspicious of their change of attitude towards him and then discovers that one of them (the boy's) has taken an old bone of his and accuses them of stealing from him, Rob try's to smooth over the situation but gets smacked across the face by the but of his rifle, Hamish rescues Rob from the Hunter but the hunter declares that he is going to give them the length of time of two cigarettes before coming to hunt them down. The boys make a break for it and try and get as far away from the hunter as possible. The hunter finishes his second smoke and the hunt is now on. Now it is a race for the boys to get back to their car with their lives or end up dead in the forest. The boys try and run as fast as they can but one of them trips and sprains his ankle, which leaves the others struggling to keep pace while carrying him. Soon the Hunter catches up to them with his skill and local knowledge of the forest and is trying to shot them down. Despite the boy's jump over step cliff and hide behind a tree truck in the stream below. While seeking cover behind the tree trunk and out of sight of the Hunter, they devise a plan to get back to car. They decide to make a break and run for it. The Hunter can see them from the top of the cliff and takes aim, realizing he is to far up, he jumps down the cliff and try's to chase them. He trips on the way down, dropping his gun and tumbles down to creek. This gives the boys enough time to make a break and get within sight of the car in an empty car park. Hamish decides to brave it walks to the car himself. Once getting to car and thinking the coast is clear, he summons the others to make their break. They do so and then discover once next to the car that the Possum Hunter is hiding behind a tree close by. He points the gun at them and tells them to line up in a single file. The boys do so and as the Hunter prepares to shoot them, the boys make a surprise attack on him and wrestle the hunter to the ground and get his gun from him. Amongst the panic and commotion, and one of the boys shots the Hunter in the chest and then in the heart. The Hunter dies and then there is a new dilemma of deciding what to do with his body- do they bury him in the bush and say nothing or go to the police and risk being tried for murder? After much debate they decide to bury the Hunter the bush. This weighs heavy on the conscious and walk away from the forest scarred forever with a secret they can never tell anybody."
Animosity (2009),documentary,"In the old days, violence was the solution to problems for many of todays Krump dancers. Today there is a different way... Krump. so there are battles for competition and there are battles that are friendly challenges, but on this DVD, the battles are not for any of those reasons. On this DVD, there are only battles that take place between the dancers in order to resolve animosity and real beef. The Krump Kings go though many daily challenges and sometime things get tough. Sometimes things get personal, and sometimes... there is ANIMOSITY"
Underground (1976),documentary,"It's the mid 1970s and the Weather Underground Organization (WUO), a radical (and violent) offshoot of the Students for a Democratic Society, explains to leftist filmmakers the difficulties and experiences of being underground and wanted by the federal government."
Hot for Transsexuals 3 (2017),adult,"Kinky director and scene player Aiden Starr's friends from the TS world show us the alluring, mysterious reality of gender-bent dating - in each scene of Hot For Transsexuals 3, a feminine, horny T-girl hooks up with a bold male adventurer for forbidden fun. Tattooed Chelsea Marie's huge bulge expands her bikini panties. Chad Diamond deep-throats her big boner. She fellates him ass-to-mouth and they trade hard-slamming butt fucks. Exotically pretty Tori Mayes and Chad share passionate mouth kissing and 69. Tori's little dicklet twirls as she rides the man's meat. Gorgeous Alexa Scout has pretty tits, long legs, a big butt and a gaping bunghole. She tickles Lance Hart's taint and laps his balls; skin-slamming sodomy makes her grip the bed. With a butt plug lodged in his sphincter, she strokes him to orgasm and they French kiss. Slim natural redhead Mandy Mitchell totally swallows tattooed, pierced Mike Panic's erection. She deeply rims his rectum, massages his prostate and feeds him the anal flavor; Mandy sits on his face so he can taste hers. She spits his jism into his mouth."
Level Up (2016/I),thriller,"MATT and ANNA are a young couple living in London. Anna is starting her career and knows what she wants, whilst Matt is still struggling to find his purpose in life. On the surface they are happy but tensions are beginning to mount. Then one morning masked thugs break into the flat and kidnap Anna before assaulting Matt, locking him into a mysterious vest and leaving him a mobile phone. Matt is told the vest contains a package which he must deliver by following instructions issued to him via the mobile phone. If he fails, tries to seek help, or deviates from their instructions, they will kill Anna. Over the course of one day Matt has to make his way across London in a desperate bid to save his girlfriend as a host of characters attempt to derail him from his mission."
James Marsters: Words and Music (2005),music,"American actor James Marsters, who earned international fame in his role of the punk vampire ""Spike"" on ""Buffy the Vampire Slayer"" and its spin-off ""Angel,"" showcases his talents on this made-for-DVD album. The ""Words"" half (45 min.) depicts Marsters's stage talents - he acted on stage, and created a theater company, for many years before appearing on television - as he explains the background of William Shakespeare's ""Macbeth"" and plays the part of Macbeth in the most important scenes and monologues. In the ""Music"" half of the DVD (58 min.), he performs (on acoustic and electric guitar) many of the songs that he played with his band Ghost of the Machine, and throws in some new ones. These include ""Birth of the Blues,"" ""Smile,"" ""Louise,"" and others that his fans enjoy. The major fault of the DVD is that it includes no credits and no explanation of where he was performing. It is chiefly a one-man show, Marsters onstage with a microphone, guitar, and bottle of water, but the actress who performs the role of Lady Macbeth should have been identified. The DVD has bottomed-out production values, as Marsters produced the whole thing by himself."
The World Is Mine (2017),documentary,"A western Cosplayer (costume player) of the popular cyber diva Hatsune Miku moves to Tokyo and gets to know the otaku community - obsessive manga fans. Her journey explores identity through cosplay and the fandom of the cyber diva Hatsune Miku, epitomizing collective fantasy as she is fan created. The film demonstrate the relevance of this behavior globally in terms of collective fantasy, with voice overs woven of lyrics fans wrote for Hatsune Miku. A western Cosplayer (costume player) of the cyber diva Hatsune Miku moves to Tokyo. Her journey explores identity through cosplay and the fandom of the cyber diva Hatsune Miku, epitomizing collective fantasy. Hatsune Miku is a ""vocaloid"", a synthesizer software."
Scars (2016/II),horror,"SCARS is a psychological thriller, written and directed by Canadian filmmaker Sean K. Robb. In this stark and disturbing story, Scar - a raven-haired punk with blood under her fingernails - and Scarlett - a blond beauty with a penchant for extortion - discover that they enjoy killing men together. 'Killing dudes is easy,' says Scar, as the two women embark on a violent and ruthless killing spree, pursued by the mysterious Det. Mike. A story about what happens to human beings who allow themselves to be consumed by nihilism and misanthropy, SCARS is an exploration of morality and ethics in a post 9/11 world - a tense and terrifying film that's part character study, part slasher flick."
"""Luke Nguyen's Greater Mekong"" (2012)",documentary,"Celebrated chef, Luke Nguyen, in the third instalment of his popular series takes us on a culinary journey across the Greater Mekong region of Southeast Asia. Beginning in southwest China, Luke explores the culinary cultures and centuries old traditions of Yunnan Province, from the Naxi people of Lijiang to the Dai communities of Xishuangbana. Journeying south to Myanmar, Luke uncovers the unique flavours of the former capital, Yangon. He learns the family recipes of Inle Lake communities and cooks with the hill tribes of the Shan State. Crossing the border into northern Thailand, Luke learns from local fishermen and Aka grandmothers that the mighty Mekong River is more than just a source of food - it is a way of life."
Youngblood Hawke (1964),drama,"Arthur Hawke works as a coal truck driver in Kentucky, he in the process trying to protect his widowed mother Sarah Hawke's property rights against his wealthy and cutthroat paternal uncles' mineral rights. Sarah, however, may be more astute in the matters of business than her son. In his spare time, Arthur is writing a novel under the pen name Youngblood Hawke, it, his first, which he is able to sell to a New York publishing house. As such, Arthur moves to New York City while he works on the necessary rewrites and contemplates his next novel, which he knows can and will pour out of him. Even before that first novel, Alms of Oblivion, is published, Arthur is the toast of certain literary circles in New York. Naive to the ways of the business, he gets caught up in this new life, in having to deal with the publishers, agents, managers, lawyers, critics, theater people who want him to translate the work into a play, and movie types who want to purchase the movie rights. He has to decide whose advice to follow in these matters, he potentially being overextended in he wanting to do and have it all. He does not realize until he is ensconced within this life that there was a latent passion associated with his work, the women around him who can smell it ooze off of him. The feminine advances for who he ultimately falls is that of Frieda Winter, a wealthy, married socialite and a frequent patron of the arts. In his affair with Frieda which needs to be hidden at every turn, Arthur may not yet realize that what he feels for his story editor, Jeanne Green, who initially discovered his unsolicited manuscript, is more than just professional gratitude. Through it all, Arthur may eventually come to the understanding that his standing in this world is solely judged on the success or failure of his latest work. Youngblood Hawke is a truck driver from Kentucky who comes to New York City to become a hot-shot writer. Almost immediately, he meets editor Jeanne Green. She sees great promise in Hawke's writing and falls for the handsome Kentuckian while helping him put together his first book deal. His first novel is moderately successful, but it is soon transformed into a Broadway play by a has-been stage actress. Jeanne discovers that Youngblood has an effect on a great many women, so she takes a job at a new publishing company. Soon after, Hawke's second novel is heralded and he becomes the toast of the town. He then has an affair with a married socialite. His third novel bombs and is also panned by critics...Hawke's financial state declines into hard times. Returning to Kentucky to work on his next book, he contracts pneumonia before realizing that his first editor Jeanne was his ideal woman."
En vanföreställning (2011),music,"Andi Almqvist, Swedish singer/songwriter in transit in the Czech Republic and on stage in Malmö, Sweden. Andi's music moves in and out of the backyards of life, where the broken hearts and ragged characters gather, far from a happy end. Andi Alqvist has toured throughout the US and Europe and is hailed by the American as well as the European music press."
The House of Screaming Death (2017),horror,"Echoing the distinctive and much celebrated great British Gothic Horror films of the 1960-70s, The House of Screaming Death will uphold their successful traditions with the telling of four macabre tales of terror all told by the mysterious Architect. Each horrific segment delves into explicit corners of the supernatural, summoning such damned creations as the ghostly Lady in Grey, stories of Witchcraft most foul, Vampirism and the Occult. But as these horrifying tales unfold with nightmarish conclusions, the Architect also has one last shocking secret of his own to tell. A dark and stormy night... A collector of the macabre weaves four tales of terror for a group of very special guests. ""The Lady in Grey"" - 1943; as the flames of war spread, a veteran of the Great War looks back on the history of Bray Manor and the ghosts that haunt him and the hallways of the ancient house. ""The Witch in the Mirror"" - 1970; Lily Proctor inherits the old house and as the spirit of a witch trapped in the Netherworld by the spectral Necromancers tries desperately to escape back into our realm a dark secret from Lily's past is revealed. ""The Vampyre"" - 1888; following a string of killings a young gentleman comes to Bray Manor. Painted as an outcast by the villagers he befriends a helpless stranger, but his kind heart may be his own undoing. ""The Diabolique"" - Sam Campbell finds himself at the center of strange happenings as an ancient, demonic spirit strives to break into our world. Each of these stories has a sting in its tail, but the final revelations of who the Architect is may just be the biggest shock of all."
Túlvilági beszélö (1992),documentary,"Mail <svaradi@sprynet.com> for translation. Tollas Tibor az 1945-os fordulatot kovetoen katonatisztkent teljesit szolgalatot a szovjet csapatok altal megszallt Bereg megyeben, ahol nehany kozsegben szovjet kozigazgatast vezettek be. Tollas jelentest tesz tapasztalatairol, ezert az AVO hamarosan letartoztatja. A vaci fegyhazban rabtarsaival konspiralva osszeallitja a Fuveskert cimu antologiat, amelyet kicsempesznek a bortonbol. Szabadulasa utan 1956-ban elhagyja az orszagot. 1963-ig Becsben, majd Munchenben szerkeszti a forradalom ugyet nepszerusito Nemzetor cimu lapot. A film rendezoi a koltovel keszitett, az eletutat feltaro interjuk mellett elkiserik Tollas Tibort a rendszervaltas utan tartott magyarorszagi eloadoutjara, latogatast tesznek a koltovel szulofalujaban, megorokitik itthoni talalkozasait, es a Nemzetor muncheni szerkesztesenek, kiadasanak korulmenyeit."
The Medusa (????),biography,"Set during the turmoil of post-Napoleonic France, the story centers on Géricault, artist and enfant terrible, who learns that his best friend has died after the Naval vessel Medusa runs aground near Senegal. Plunged into grief, and entangled in a passionate but doomed love affair, Géricault begins to search for a reason to live. In this quest, he becomes morbidly obsessed with the disaster -- and with seeing justice served."
